NAME,GRADE,HEIGHT,BOLTS,AREA
Shits and Giggles,11d,25,5,North East
Dirty Trip,12c,25,4,North East
Greasy Kid's Stuff,12a,30,5,North East
Anal Sac Expression,10c,35,7,North East
Austrian Ass Attack,11d,50,8,North East
Mexican Sac Pull,11b,40,7,North East
PBR,11b,40,7,North East
Man Junk,12b,30,5,North East
Junk Bus,12b,35,7,North East
Flabby-Armed Spanking Machine,12c,45,8,North East
Ride the Short Bus,11d,40,6,North East
Respect My Authority,12b,45,9,North East
Mixed Max,11c,45,7,North East
White Stripes,10d,45,6,North East
Ignatius,10b,40,6,North East
Troubadour,10c,35,6,North East
Business in the Front,10c,40,5,North East
Party in the Back,8,45,6,North East
Pimp-Ass Midgiemullet,10d,50,7,North East
Joe Dirt,10c,55,8,North East
Military Cut,9+,45,7,North East
Mohawk,10b,50,7,North East
Left Sock,8,40,8,North East
Sleestack,12b,50,10,North East
Jimmy Hoffa,12b,45,7,North East
Atlantis,12a,45,7,North East
The Penny Cigarette,12a,25,3,North East
Split Personality,8,35,5,North East
Oh Elle Yeah,7,30,5,North East
Sunshine State of Mind,9+,30,5,North East
Ornithophobia,10b,30,5,North East
Rat With Wings,9,30,5,North East
Pride,12b,30,6,North East
Envy,13a,30,6,North East
Hiking Under the Influence,10d,25,5,North East
Mini Me,11a,20,3,North East
Crag Dog Millionaire,6,35,4,North East
Chilli for Rent,6,35,4,North East
Pillar de Chilli,8,35,5,North East
